learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
7.6E7,127.830194,2.521238701252474E-7,7.6E7,73.66571710526316,44.519341863039315,7.6E7,7624.0
7.7E7,129.495425,2.5540826226481133E-7,7.7E7,73.66637012987013,44.52051749701324,7.7E7,7624.0
7.8E7,131.271688,2.589116466210948E-7,7.8E7,73.66642307692308,44.520683577128814,7.8E7,7624.0
7.9E7,132.984528,2.6228993962208433E-7,7.9E7,73.66783544303797,44.523363962492525,7.9E7,7624.0
8.0E7,134.649152,2.6557313455475703E-7,8.0E7,73.667455,44.52232416001995,8.0E7,7624.0
8.1E7,136.318663,2.6886596828492154E-7,8.1E7,73.66760987654321,44.522518218035955,8.1E7,7624.0
8.2E7,138.023848,2.7222916306720844E-7,8.2E7,73.66788780487805,44.5231559321718,8.2E7,7624.0
8.3E7,139.751694,2.756370529159904E-7,8.3E7,73.66780120481927,44.52306207678202,8.3E7,7624.0
8.4E7,141.450146,2.789869679717554E-7,8.4E7,73.6683011904762,44.52441524935577,8.4E7,7624.0
8.5E7,143.162911,2.8236511304767595E-7,8.5E7,73.66831647058824,44.523898632439476,8.5E7,7624.0
8.6E7,144.820839,2.8563510123019415E-7,8.6E7,73.66861395348838,44.523898690897454,8.6E7,7624.0
8.7E7,146.474018,2.888957227973474E-7,8.7E7,73.66845172413792,44.52373338790429,8.7E7,7624.0
8.8E7,148.11706,2.921363508121835E-7,8.8E7,73.66887954545454,44.524736750514215,8.8E7,7624.0
8.9E7,149.777433,2.9541116135194896E-7,8.9E7,73.66821348314608,44.5231481627382,8.9E7,7624.0
9.0E7,151.456236,2.9872232201198734E-7,9.0E7,73.66853888888889,44.52383653393056,9.0E7,7624.0
9.1E7,153.210586,3.021824866077966E-7,9.1E7,73.66895274725275,44.52437231941258,9.1E7,7624.0
9.2E7,154.954876,3.0562280952102604E-7,9.2E7,73.66979130434783,44.52613960697093,9.2E7,7624.0
9.3E7,156.753184,3.091696739859051E-7,9.3E7,73.6693064516129,44.52535596069877,9.3E7,7624.0
9.4E7,158.579023,3.127708387850887E-7,9.4E7,73.66884042553191,44.524587944839205,9.4E7,7624.0
9.5E7,160.640822,3.1683739557448363E-7,9.5E7,73.66838105263159,44.52396524327323,9.5E7,7624.0
9.6E7,162.604533,3.207104900417229E-7,9.6E7,73.66924375,44.52577645734187,9.6E7,7624.0
9.7E7,164.277186,3.2400952084610863E-7,9.7E7,73.66989484536083,44.52704697868569,9.7E7,7624.0
9.8E7,165.955851,3.2732040932402017E-7,9.8E7,73.67021428571428,44.52732543806363,9.8E7,7624.0
9.9E7,167.625965,3.306144323717389E-7,9.9E7,73.6707595959596,44.52830728413246,9.9E7,7624.0
1.0E8,169.325781,3.339670376914243E-7,1.0E8,73.670602,44.52818513664945,1.0E8,7624.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.39688,1.3032096293237474E-8,10000.0,80.4,58.55185247843006,10000.0,126928.0,38.0,30.0,30.0,3.0,0.0,0.0,1.0
20000.0,0.576017,2.2227633932812345E-8,20000.0,83.745,66.09562352380127,20000.0,198424.0,63.0,47.0,47.0,3.0,0.0,0.0,1.0
30000.0,0.667472,2.7324830991112524E-8,30000.0,85.57666666666667,69.99820419109903,30000.0,215440.0,74.0,54.0,54.0,4.0,0.0,0.0,1.0
40000.0,0.797768,3.679452851621641E-8,40000.0,86.4,71.79348674950948,40000.0,280936.0,97.0,67.0,67.0,4.0,0.0,0.0,1.0
50000.0,0.865775,4.20477947861784E-8,50000.0,87.072,73.22633751620837,50000.0,298592.0,105.0,71.0,71.0,5.0,0.0,0.0,1.0
60000.0,0.955787,4.947552375702394E-8,60000.0,87.60333333333334,74.39674481356377,60000.0,318976.0,117.0,77.0,77.0,5.0,0.0,0.0,1.0
70000.0,1.077008,6.170490440188183E-8,70000.0,88.02,75.29610138249038,70000.0,389968.0,144.0,95.0,95.0,5.0,0.0,0.0,1.0
80000.0,1.146367,6.89421957006885E-8,80000.0,88.40625,76.10751547966701,80000.0,403344.0,146.0,96.0,96.0,5.0,0.0,0.0,1.0
90000.0,1.24596,8.06089004687965E-8,90000.0,88.7088888888889,76.74188279922713,90000.0,452816.0,172.0,109.0,109.0,5.0,0.0,0.0,1.0
100000.0,1.335719,9.212879129995904E-8,100000.0,88.991,77.33715410237035,100000.0,496104.0,187.0,118.0,118.0,5.0,0.0,0.0,1.0
110000.0,1.411258,1.0203486221945949E-7,110000.0,89.28636363636365,77.95189871727446,110000.0,506912.0,191.0,120.0,120.0,5.0,0.0,0.0,1.0
120000.0,1.494959,1.1334093856521779E-7,120000.0,89.56416666666667,78.52623153225332,120000.0,522136.0,201.0,125.0,125.0,5.0,0.0,0.0,1.0
130000.0,1.597829,1.2888138602384263E-7,130000.0,89.74,78.8902386295641,130000.0,583952.0,226.0,142.0,142.0,6.0,0.0,0.0,1.0
140000.0,1.693654,1.4394319265253014E-7,140000.0,89.93214285714286,79.29358560344392,140000.0,607576.0,236.0,147.0,147.0,6.0,0.0,0.0,1.0
150000.0,1.775569,1.57126829398589E-7,150000.0,90.09866666666667,79.64371095803473,150000.0,622120.0,240.0,149.0,149.0,6.0,0.0,0.0,1.0
160000.0,1.875683,1.7430652779216568E-7,160000.0,90.265,79.98478641700902,160000.0,663320.0,259.0,160.0,160.0,6.0,0.0,0.0,1.0
170000.0,1.980879,1.9289823561285932E-7,170000.0,90.42529411764706,80.31862959758118,170000.0,683160.0,274.0,169.0,169.0,6.0,0.0,0.0,1.0
180000.0,2.096057,2.141806580643687E-7,180000.0,90.55777777777779,80.59349202823677,180000.0,714256.0,281.0,174.0,174.0,6.0,0.0,0.0,1.0
